"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
75,"English",2,"Female","45","No","","Yes",".55",2
76,"English",2,"Female","47","no problems","Good HIT.  Thanks.","Yes",".50",3
77,"english",2,"Male","46","no","","Yes",".50",3
78,"English",1,"Male","46","No.","Thank you.","Yes","1.00",2
79,"English",2,"Male","24","","","Yes","yes",2
80,"English",1,"Male","21","","","Yes",".50",2
81,"English",1,"Male","35","Nope","","Yes","1$",2
82,"English",1,"Male","35","no","","Yes",".50",3
83,"English",2,"Female","43","No","It worked great","Yes",".50",2
84,"English",2,"Female","77","No, none.","Very interesting","Yes",".50",1
85,"English",2,"Male","29","No.","","Yes","50 cents.",2
86,"English",2,"Female","40","No","","Yes",".50",1
87,"English",2,"Female","25","none","This was a fun way to study language","No","yes",3
88,"english ",2,"Female","54","no","i enjoy this it was different and simple thank you ","Yes","50 cents is good",2
89,"Russian",2,"Male","33","No","","Yes",".50",4
90,"English",2,"Male","40","no","no","Yes","0.10",3
91,"English",2,"Female","52","none","This was interesting, thanks!","Yes",".50",3
92,"English",1,"Female","66","no bugs or problems of that sort","Thanks for letting me participate.  Good luck with your data collection.","Yes",".50",3
93,"English",2,"Female","34","No","","Yes","0.50",2
94,"English",1,"Male","38","N/A","That was harder than I though. I hope I didn&quotechart over think any of them, but I believe I see what you were driving at. Thanks.","Yes","0.50",4
95,"english",2,"Male","39","no","none","Yes","yes",1
96,"English",1,"Female","25","","","Yes",".50",2
97,"english",2,"Male","male","no","liked the hit.  thanks.","Yes","0.50",3
98,"English",2,"Male","36","None","N/A","Yes","$0.50",4
99,"English",2,"Male","26","","","Yes","",3
100,"english",2,"Male","31","no","","Yes","1",2
101,"English",2,"Male","34","none","Thanks","Yes","0.50",2
102,"English",2,"Female","57","no","no","Yes",".50",3
103,"english",2,"Male","50","no","","Yes",".50",3
104,"English",1,"Female","43","No! Fun survey.","Thank you!","Yes",".50",3
105,"English",1,"Male","51","none","","Yes",".50",2
106,"english",1,"Female","38","","","Yes",".50",3
107,"English",1,"Female","29","No","No","Yes","may be",2
108,"English",2,"Male","23","None","Very smooth","Yes",".50",2
109,"English",2,"Female","32","","This was fun to analyze sentences. I wonder how I did... ","Yes","0.50",3
110,"English",2,"Female","37","no","","Yes",".50",2
111,"English",2,"Male","32","none","","Yes","0.40",4
112,"English",2,"Female","37","","","Yes",".50",2
113,"English",2,"Male","54","no","thanks!","Yes",".60",2
114,"English",2,"Female","29","No","","Yes","Yes",2
115,"english",2,"Male","32","no","it was original","Yes","0.50",3
116,"english",2,"Female","43","no","","Yes",".50",2
117,"English",2,"Male","26","no","","Yes",".50",1
118,"English",2,"Male","41","No","None","Yes","Yes",3
119,"English",1,"Male","59","No.","","Yes",".75",3
120,"English",2,"Male","27","No","","No","Yes",2
121,"english",2,"Female","48","no","Interesting.","Yes",".75",2
122,"English",2,"Male","52","No","Kind of different, I haven&quotechart done one like this.","Yes",".50",4
123,"English",2,"Male","34","None, thank you.","None, thank you.","Yes",".50",3
124,"Mandarin",1,"Male","52","No issues on Linux Mint 17, latest Firefox","","Yes","0.60",2
125,"english",2,"Male","27","","","Yes",".50",2
126,"English",2,"Male","26","No","","Yes",".50",3
127,"English",1,"Female","29","","","Yes","0.10",3
128,"English",2,"Female","50","No","None","Yes",".10",4
129,"english",2,"Female","60","no","","Yes",".50",1
130,"english",1,"Female","55","no","","Yes","50",1
131,"English",2,"Male","29","No","","Yes","0.75",2
132,"Engloish ",1,"Female","32","None that I seen of","Makes you think :-)","Yes","0.50",2
133,"English",1,"Male","44","No, there were not.","No comments","Yes","$0.50",1
134,"english",2,"Male","19","no","","Yes",".40",2
135,"English",2,"Male","34","no","","Yes","0.50",3
136,"english",2,"Male","62","no","","Yes","yes",3
137,"English",2,"Male","29","","","Yes","50 cents",1
138,"English",2,"Female","29","No","","Yes",".50",3
139,"English",1,"Male","38","No.","Have a good day, researchers!","Yes","10 cents",4
140,"English",2,"Male","27","No.","","Yes",".50",2
141,"english",2,"Female","57","no","","Yes",".50",3
142,"English",2,"Male","27","No","Thanks","Yes",".70",3
143,"English",2,"Male","38","No","","Yes",".60",3
144,"english",1,"Male","54","no","none now","Yes","0.50",4
145,"english",1,"Female","62","no","","Yes",".50",3
146,"english",2,"Female","34","none","none. Thanks!","Yes",".50",2
147,"English",1,"Male","30","no","","Yes","1.00",1
148,"english",1,"Female","24","no","","Yes","almost",4
149,"English, Portuguese",2,"Male","60","no,none","interesting and thought provoking","Yes",".50",3
150,"English.",2,"Male","64","Everything was fine.","Interesting to take. Thanks.","Yes",".50",1
151,"English",2,"Male","30","no","","No","yes",3
152,"english",2,"Male","31","no","","Yes",".60",2
153,"English",2,"Male","46","No","None","Yes","0.50",2
154,"English",2,"","30","No","No, thank you.","Yes","0.50",3
155,"English",2,"Male","22","","","Yes",".50",2
156,"english",2,"Female","44","no","price is based on state min wage= .15 a min.","Yes",".60-.75",3
157,"English",2,"Male","22","No","","Yes","Yes",2
158,"Engllish",1,"Female","56","none","","Yes",".50",2
159,"English",2,"Female","34","No","","Yes",".50",1
160,"English",2,"Male","19","N/A","N/A","Yes","0.50",2
161,"English",2,"Male","23","No","I love these kinds of HIT. I&quotechard love to do more! Philosophy of language is an interest of mine.","Yes","1.00",3
162,"Englilsh",2,"Male","28","no","","Yes","50",3
163,"english",1,"Male","38","","","Yes","0.50",2
164,"English",2,"Female","26","","","Yes",".5",4
165,"English",2,"Female","31","No","No thanks","Yes","1.00",3
166,"Tagalog",2,"Female","39","none","","Yes",".50",3
167,"English",2,"Male","29","no","Great","Yes",".50",3
168,"English",2,"Male","29","No","No","Yes","Yes",3
169,"English",1,"Female","46","no","","Yes",".5",4
170,"English",2,"Female","48","no","","Yes",".50",4
171,"English",2,"Male","65","no","hope you&quotecharll do more","Yes",".50",2
172,"english",1,"Male","29","na","ty","Yes","50.",1
173,"English",2,"Male","26","No","","Yes",".5",2
174,"English",2,"Other","40","no","no","Yes","0.25",2
175,"english",2,"Female","41","no","thanks","Yes",".50",2
176,"spanish",2,"Female","26","no","","Yes","yes",2
177,"",-1,"",NA,"","",NA,"",-1
178,"English",-1,"Male","58","","","Yes","",2
179,"English",1,"Male","43","none","none","Yes",".75",3
180,"English",2,"Female","30","none","","Yes",".50",3
181,"English",1,"Male","28","No","","Yes",".30",3
182,"English",2,"Male","40","no issues","","Yes",".50",2
183,"English",2,"Female","23","","","No","yes",2
184,"English",1,"Male","41","","","Yes",".60",2
185,"English",1,"Male","30","I did not have any problems or bugs in the experiment.","I enjoyed taking this survey.
","Yes","1.00",2
186,"English",1,"Male","29","No there weren&quotechart.","","Yes","0.50",4
187,"English",2,"Male","47","None","Thank You.","Yes",".50",1
188,"ENGLISH",2,"Male","64","NONE","FUN SURVEY","Yes",".50",3
189,"English",2,"Female","36","","","Yes",".50",2
190,"english",2,"Female","35","no","","Yes","sure",4
191,"English",2,"Male","34","everything went smoothly. ","I enjoyed it, thank you for the opportunity to participate in your work.  ","Yes",".35",2
192,"English",2,"Male","33","No","","Yes","1 usd",3
193,"",-1,"Female","43","no","","Yes","",-1
194,"creole",2,"Male","23","no","would like to do more of this if my work is approved","Yes",".50",3
195,"English",1,"Female","36","no","","Yes","yes",4
196,"english",1,"Male","27","No bugs","","Yes","",2
197,"English",2,"Male","30","no","","Yes","50 cents is fair-thanks for asking",3
198,"Italian",2,"Male","37","no","It has been interesting, thank you!","Yes","0.5",2
199,"English",2,"Female","27","none","","Yes","$0.50",3
200,"english",2,"Male","35","no","","Yes",".50",2
201,"English",2,"Male","35","","","Yes",".50",0
202,"English",2,"Female","54","no","","Yes",".50",3
203,"English ",2,"Female","31","n/a","","Yes",".50",3
204,"Russian",2,"Female","27","No","","Yes",".50",3
205,"english",2,"Female","53","no","no","Yes",".50",2
206,"English",2,"Female","24","","","Yes",".50",2
207,"English",1,"Female","63","No.","Some of the choices could be either. I know I chose one of the video ones as ""shorter relative to other things you watch online"" instead of ""relative to other videos"" because I think it could have been either.","Yes","Yes",2
208,"english",2,"Female","45","no","","Yes",".50",2
209,"English",2,"Female","27","None","None","Yes",".50",3
210,"English ",2,"Female","26","No","","Yes","$0.60",2
211,"english",2,"Male","42","no","I like hits that involve word, word play, etc.","Yes",".25",4
212,"English",2,"Female","50","no","","Yes",".50",2
213,"English",2,"Male","56","No","","Yes",".50",3
214,"English",2,"Male","31","","","Yes",".5",4
215,"English",2,"Male","36","no","","Yes",".50",2
216,"english",1,"Female","29","no there wasn&quotechart","","Yes",".50",2
217,"English",2,"Female","29","","","Yes","It was very fair",3
218,"",-1,"",NA,"","",NA,"",-1
219,"english",1,"Female","56","NO","","Yes",".5",2
220,"english",2,"Male","28","no","","Yes",".50",3
221,"English",2,"Female","40","Not that I saw.","Fairly enjoyable.","Yes","0.50",0
222,"English",2,"Female","32","","","Yes","1.00",4
223,"english",2,"Male","42","","","Yes","0.5",3
224,"Englsih",2,"Male","24","No","","Yes","50 cents",3
225,"English",2,"Male","35","No.","","Yes",".50 ",1
226,"English",2,"Female","33","no","","Yes",".75",2
227,"English",2,"Female","20","No","N/A","Yes","Yes",2
228,"ENGLISH",2,"Female","39","","","Yes",".80",2
229,"English",2,"Female","Female","no","Fun!","Yes","50 cents",3
230,"English",1,"Female","32","No","","Yes",".50",2
231,"english",2,"Male","41","No","","Yes",".50",3
232,"English",2,"Female","21","no","none","Yes",".50",2
233,"english",1,"Female","21","no","","Yes",".50",3
234,"English",1,"Male","33","No",NA,"Yes",".50",1
235,"ENGLISH",2,"Female","64","NO","","Yes",".50",3
236,"English",2,"Female","25","No","","Yes","0.50",3
237,"English",1,"Female","43","no","n/a","Yes",".50",2
238,"English",2,"Male","26","There weren&quotechart any problems","","Yes",".50",3
239,"english",1,"Female","53","no","","Yes",".50",-1
240,"English",2,"Male","23","no","","Yes","0.50",1
241,"English",1,"Female","45","No.","","Yes","Yes.",2
242,"english",1,"Female","27","no","TY","Yes",".50",3
243,"English",2,"Male","28","no","fun to do","Yes",".50",3
244,"english",1,"Female","24","no","","Yes","1",3
245,"English",1,"Male","27","No","","Yes",".50",3
246,"English",2,"Female","67","No","Thank you","Yes","yes",2
247,"English",2,"Male","26","no","none","Yes","0.50",2
248,"English",2,"Male","19","I was confused, because, 99.99% of the times, the correct answer would have been the first paraphrasing. Because we were given the context of the situation, such as it being a movie, a video, a grape, etc. We know that it&quotechars being relative to a certain group, and that group was always the first group.","N/A","Confused",".50",2
249,"english",2,"Male","73","none","straightforward, relative to other ------ (comments / hits:-)","Yes","0.5",3
250,"English ",2,"Male","48","","Interesting what we say and what we mean. Thanks good luck with your work ","Yes",".50",2
251,"English ",2,"Female","38","No","","Yes",".50",4
252,"English",1,"Male","23","No","No","Yes",".40",3
253,"english",2,"Female","30","no","","Yes",".50",3
254,"English",2,"Female","32","no it was easy to understand","","Yes","yes",1
255,"english",2,"Female","44","no","","Yes","yes",3
256,"English",2,"Male","30","No","","Yes","0.5",2
257,"English",2,"Female","60","No","Thanks","Yes",".35",2
258,"English",2,"Female","53","no","","Yes",".50",2
259,"english",2,"Male","35","nope","","Yes","yes",4
260,"english",1,"Male","33","nope","nope","Yes",".50",2
261,"English",2,"Female","26",NA,NA,"Yes","1.00",3
262,"ENGLISH",1,"Male","43","NONE","NONE","Yes",".50",2
263,"English ",-1,"Female","29","No","","Yes",".75",4
264,"english",1,"Female","54","no","","Yes",".50",4
265,"English",2,"Male","41","","","Yes","Yes",3
266,"English",2,"Male","25","no","","Yes","Yes",3
267,"English",2,"Female","34","No","","Yes",".50",3
268,"english",2,"Female","35","","","Yes",".50",3
269,"English",1,"Male","27","None.","None.","Yes","$0.50",2
270,"English",2,"Male","36","No.","","No",".60",4
271,"English",1,"Female","28","none","","Yes","the price is fine as is",3
272,"English",2,"Female","34","No","No other comments","Yes","Yes",3
273,"english",2,"Male","36","no","Thanks","Yes",".50",2
274,"Dutch",1,"Male","70","n0","","Yes","0.50",2
275,"English",2,"Male","30","No","No","Yes",".75",3
276,"English",2,"Male","59","","","Yes","50",1
277,"ENGLISH",1,"Male","37","NONE","N/A","Yes",".75",3
278,"English",2,"Male","38","None","Thanks!  Progress bars are always helpful, thanks for including that.","Yes","0.50",4
279,"English",1,"Female","36","no","Thanks!","Yes",".50",2
280,"English",1,"Male","23","No","","Yes","0.75",2
281,"English",1,"Female","27","","","Yes","0.50",3
282,"English",2,"Female","64","no","","Yes",".60",3
283,"English",2,"Female","26","No issues! ","Thank you!","Yes","Yes",3
284,"English",2,"Male","60","No.","","Yes","0.50",2
285,"English",1,"Female","36","no","","Yes","0.50",3
286,"english",2,"Male","33","no","","Yes","1.00",3
287,"English",2,"Male","50","There were no problems or bugs with the experiment","Thanks for the opportunity to participate and good luck with your research!","Yes","0.50",4
288,"English",1,"Female","43","none","Thank you","Yes","50",3
289,"english",2,"Male","64","no","","Yes","yes",4
290,"English",1,"Female","28","","","No",".25",4
291,"English",2,"Female","57","","","Yes",".50",2
292,"english",1,"Male","60","no","","Yes",".50",3
293,"Emglish",2,"Female","32","No","","Yes","Yes",4
294,"English",2,"Female","66","no problems","","Yes","1.00",4
295,"English",2,"Male","30","","","Yes","0.50",3
296,"English",2,"Female","37","No","","Yes","0.50",3
297,"english",2,"Female","27","no",NA,"Yes",".50",3
298,"English",2,"Male","54","no",NA,"Yes",".75",3
299,"English",2,"Female","44","",NA,"Yes","yes",3
