"workerid","strength","trial_num","target","degree","paraphrase0","gender","contextWithSuper","adjective","super_category","form","names","context","paraphrase1","paraphrase","contextWithSuperPronoun","condition","sub_category"
37,2,8,"expensive","price","sub_plural","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Melinda"," finds a toaster and looks at the price.","super","sub_plural","She","contextWithSuper","toaster"
37,2,9,"light","weight","sub_plural","female"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Maya"," picks up an apple.","super","sub_plural","","contextWithSuper","apple"
37,1,10," tall","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Natalia"," sees a professional gymnast.","super","super","","contextWithSuper","gymnast"
37,3,11,"short","time","sub_plural","female"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Stephanie"," finds a movie to watch online with their friend.","super","sub_plural","","contextWithSuper","movie"
37,2,12,"warm","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Greg"," lives in Maryland and steps outside in Fall.","super","super","He","contextWithSuper","day in Fall"
37,3,13," short","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Veronica"," sees a professional basketball player.","super","sub_plural","","contextWithSuper","basketball player"
37,2,14,"long","time","sub_plural","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","John"," finds a music video to watch online with their friend.","super","super","","contextWithSuper","music video"
37,1,15,"cold","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Stephen"," lives in Maryland and steps outside in Winter.","super","super","He","contextWithSuper","day in Winter"
38,3,1,"expensive","price","super","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Kim"," finds a dishwasher and looks at the price.","sub_plural","sub_plural","","context","dishwasher"
38,3,2,"cold","temperature","super","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Lucas"," lives in Maryland and steps outside in Summer.","sub_plural","sub_plural","","context","day in Summer"
38,1,3,"light","weight","super","male"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","John"," picks up a grape.","sub_plural","super","","context","grape"
38,1,4,"expensive","price","super","male"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Greg"," finds a bottle opener and looks at the price.","sub_plural","super","","context","bottle opener"
38,3,5,"long","time","super","female"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Alicia"," finds a movie to watch online with their friend.","sub_plural","sub_plural","","context","movie"
38,2,6," short","height","super","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Kathleen"," sees a professional soccer player.","sub_plural","super","","context","soccer player"
38,1,7,"cold","temperature","super","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Natalia"," lives in Maryland and steps outside in Winter.","sub_plural","sub_plural","","context","day in Winter"
38,1,8," tall","height","super","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Jasmine"," sees a professional gymnast.","sub_plural","sub_plural","","context","gymnast"
38,2,9,"cold","temperature","super","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Daniel"," lives in Maryland and steps outside in Fall.","sub_plural","sub_plural","","context","day in Fall"
38,2,10,"expensive","price","super","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Julia"," finds a toaster and looks at the price.","sub_plural","sub_plural","","context","toaster"
38,1,11,"short","time","super","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Laura"," finds a video of a cute animal to watch online with their friend.","sub_plural","super","","context","video of the cute animal"
38,3,12,"heavy","weight","super","male"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Cameron"," picks up a watermelon.","sub_plural","super","","context","watermelon"
38,3,13," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Simon"," sees a professional basketball player.","sub_plural","sub_plural","","context","basketball player"
38,2,14,"heavy","weight","super","female"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Stephanie"," picks up an apple.","sub_plural","super","","context","apple"
38,2,15,"short","time","super","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Melinda"," finds a music video to watch online with their friend.","sub_plural","super","","context","music video"
39,3,1,"light","weight","super","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Angela"," picks up a watermelon.","sub_plural","sub_plural","","contextWithSuper","watermelon"
39,2,2,"cheap","price","super","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Kim"," finds a toaster and looks at the price.","sub_plural","sub_plural","She","contextWithSuper","toaster"
39,1,3," tall","height","super","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Tanya"," sees a professional gymnast.","sub_plural","super","","contextWithSuper","gymnast"
39,2,4,"heavy","weight","super","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Simon"," picks up an apple.","sub_plural","sub_plural","","contextWithSuper","apple"
39,3,5,"warm","temperature","super","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Claire"," lives in Maryland and steps outside in Summer.","sub_plural","sub_plural","She","contextWithSuper","day in Summer"
39,3,6,"long","time","super","male"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Gary"," finds a movie to watch online with their friend.","sub_plural","sub_plural","","contextWithSuper","movie"
39,3,7," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Daniel"," sees a professional basketball player.","sub_plural","sub_plural","","contextWithSuper","basketball player"
39,1,8,"short","time","super","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Sophie"," finds a video of a cute animal to watch online with their friend.","sub_plural","super","","contextWithSuper","video of the cute animal"
39,1,9,"cheap","price","super","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Kim"," finds a bottle opener and looks at the price.","sub_plural","sub_plural","She","contextWithSuper","bottle opener"
39,1,10,"light","weight","super","male"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Michael"," picks up a grape.","sub_plural","sub_plural","","contextWithSuper","grape"
39,3,11,"cheap","price","super","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Mika"," finds a dishwasher and looks at the price.","sub_plural","sub_plural","She","contextWithSuper","dishwasher"
39,2,12," tall","height","super","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Greg"," sees a professional soccer player.","sub_plural","super","","contextWithSuper","soccer player"
39,2,13,"cold","temperature","super","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Veronica"," lives in Maryland and steps outside in Fall.","sub_plural","sub_plural","She","contextWithSuper","day in Fall"
39,2,14,"long","time","super","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Charles"," finds a music video to watch online with their friend.","sub_plural","sub_plural","","contextWithSuper","music video"
39,1,15,"warm","temperature","super","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Gabriel"," lives in Maryland and steps outside in Winter.","sub_plural","sub_plural","He","contextWithSuper","day in Winter"
40,1,1," short","height","super","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Maya"," sees a professional gymnast.","sub_plural","super","","context","gymnast"
40,3,2,"short","time","super","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Josh"," finds a movie to watch online with their friend.","sub_plural","sub_plural","","context","movie"
40,2,3,"light","weight","super","female"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Natalia"," picks up an apple.","sub_plural","sub_plural","","context","apple"
40,1,4,"long","time","super","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Alicia"," finds a video of a cute animal to watch online with their friend.","sub_plural","sub_plural","","context","video of the cute animal"
40,3,5," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Anthony"," sees a professional basketball player.","sub_plural","super","","context","basketball player"
40,3,6,"warm","temperature","super","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Melinda"," lives in Maryland and steps outside in Summer.","sub_plural","super","","context","day in Summer"
40,3,7,"expensive","price","super","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Alexander"," finds a dishwasher and looks at the price.","sub_plural","sub_plural","","context","dishwasher"
40,1,8,"heavy","weight","super","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","David"," picks up a grape.","sub_plural","super","","context","grape"
40,1,9,"cheap","price","super","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Angela"," finds a bottle opener and looks at the price.","sub_plural","sub_plural","","context","bottle opener"
40,2,10,"long","time","super","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Michael"," finds a music video to watch online with their friend.","sub_plural","sub_plural","","context","music video"
40,2,11,"cheap","price","super","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Jasmine"," finds a toaster and looks at the price.","sub_plural","super","","context","toaster"
40,2,12," short","height","super","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Michelle"," sees a professional soccer player.","sub_plural","sub_plural","","context","soccer player"
40,2,13,"warm","temperature","super","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Stephanie"," lives in Maryland and steps outside in Fall.","sub_plural","super","","context","day in Fall"
40,3,14,"heavy","weight","super","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Mika"," picks up a watermelon.","sub_plural","sub_plural","","context","watermelon"
40,1,15,"cold","temperature","super","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Julia"," lives in Maryland and steps outside in Winter.","sub_plural","super","","context","day in Winter"
41,1,1,"light","weight","super","female"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Melinda"," picks up a grape.","sub_plural","super","","contextWithSuper","grape"
41,3,2,"cheap","price","super","male"," is browsing around a kitchen appliance store. He finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Lee"," finds a dishwasher and looks at the price.","sub_plural","super","He","contextWithSuper","dishwasher"
41,3,3,"long","time","super","male"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Tom"," finds a movie to watch online with their friend.","sub_plural","super","","contextWithSuper","movie"
41,3,4,"cold","temperature","super","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Lucas"," lives in Maryland and steps outside in Summer.","sub_plural","sub_plural","He","contextWithSuper","day in Summer"
41,2,5,"expensive","price","super","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Veronica"," finds a toaster and looks at the price.","sub_plural","super","She","contextWithSuper","toaster"
41,1,6,"short","time","super","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Sophie"," finds a video of a cute animal to watch online with their friend.","sub_plural","super","","contextWithSuper","video of the cute animal"
41,1,7," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Michael"," sees a professional gymnast.","sub_plural","super","","contextWithSuper","gymnast"
41,2,8,"heavy","weight","super","female"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Alicia"," picks up an apple.","sub_plural","super","","contextWithSuper","apple"
41,1,9,"cold","temperature","super","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Alexander"," lives in Maryland and steps outside in Winter.","sub_plural","sub_plural","He","contextWithSuper","day in Winter"
41,2,10," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Cameron"," sees a professional soccer player.","sub_plural","super","","contextWithSuper","soccer player"
41,2,11,"long","time","super","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Tanya"," finds a music video to watch online with their friend.","sub_plural","super","","contextWithSuper","music video"
41,3,12,"heavy","weight","super","male"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Josh"," picks up a watermelon.","sub_plural","super","","contextWithSuper","watermelon"
41,2,13,"warm","temperature","super","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Michelle"," lives in Maryland and steps outside in Fall.","sub_plural","sub_plural","She","contextWithSuper","day in Fall"
41,1,14,"expensive","price","super","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Gary"," finds a bottle opener and looks at the price.","sub_plural","super","He","contextWithSuper","bottle opener"
41,3,15," short","height","super","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Angela"," sees a professional basketball player.","sub_plural","super","","contextWithSuper","basketball player"
42,2,1,"short","time","sub_plural","male"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Josh"," finds a music video to watch online with their friend.","super","sub_plural","","context","music video"
42,3,2," short","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Maya"," sees a professional basketball player.","super","sub_plural","","context","basketball player"
42,3,3,"short","time","sub_plural","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Greg"," finds a movie to watch online with their friend.","super","sub_plural","","context","movie"
42,1,4," short","height","sub_plural","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Daniel"," sees a professional gymnast.","super","sub_plural","","context","gymnast"
42,3,5,"cheap","price","sub_plural","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Angela"," finds a dishwasher and looks at the price.","super","sub_plural","","context","dishwasher"
42,2,6,"heavy","weight","sub_plural","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Eric"," picks up an apple.","super","sub_plural","","context","apple"
42,2,7,"warm","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Lee"," lives in Maryland and steps outside in Fall.","super","sub_plural","","context","day in Fall"
42,2,8," short","height","sub_plural","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","William"," sees a professional soccer player.","super","sub_plural","","context","soccer player"
42,1,9,"long","time","sub_plural","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Kim"," finds a video of a cute animal to watch online with their friend.","super","sub_plural","","context","video of the cute animal"
42,2,10,"cheap","price","sub_plural","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Kim"," finds a toaster and looks at the price.","super","sub_plural","","context","toaster"
42,1,11,"warm","temperature","sub_plural","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Laura"," lives in Maryland and steps outside in Winter.","super","sub_plural","","context","day in Winter"
42,1,12,"expensive","price","sub_plural","male"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","John"," finds a bottle opener and looks at the price.","super","sub_plural","","context","bottle opener"
42,3,13,"heavy","weight","sub_plural","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Natalia"," picks up a watermelon.","super","sub_plural","","context","watermelon"
42,3,14,"cold","temperature","sub_plural","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Claire"," lives in Maryland and steps outside in Summer.","super","sub_plural","","context","day in Summer"
42,1,15,"heavy","weight","sub_plural","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Gabriel"," picks up a grape.","super","sub_plural","","context","grape"
43,1,1,"cheap","price","sub_plural","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Veronica"," finds a bottle opener and looks at the price.","super","sub_plural","","context","bottle opener"
43,2,2,"light","weight","sub_plural","male"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Lucas"," picks up an apple.","super","sub_plural","","context","apple"
43,3,3,"cheap","price","sub_plural","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Claire"," finds a dishwasher and looks at the price.","super","sub_plural","","context","dishwasher"
43,3,4,"short","time","sub_plural","female"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Maya"," finds a movie to watch online with their friend.","super","sub_plural","","context","movie"
43,2,5," short","height","sub_plural","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Gabriel"," sees a professional soccer player.","super","super","","context","soccer player"
43,2,6,"short","time","sub_plural","male"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","John"," finds a music video to watch online with their friend.","super","sub_plural","","context","music video"
43,2,7,"expensive","price","sub_plural","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Stephanie"," finds a toaster and looks at the price.","super","sub_plural","","context","toaster"
43,2,8,"cold","temperature","sub_plural","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Kathleen"," lives in Maryland and steps outside in Fall.","super","super","","context","day in Fall"
43,1,9,"heavy","weight","sub_plural","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Anthony"," picks up a grape.","super","sub_plural","","context","grape"
43,1,10,"warm","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Cameron"," lives in Maryland and steps outside in Winter.","super","super","","context","day in Winter"
43,3,11," tall","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Angela"," sees a professional basketball player.","super","super","","context","basketball player"
43,1,12,"long","time","sub_plural","male"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Simon"," finds a video of a cute animal to watch online with their friend.","super","sub_plural","","context","video of the cute animal"
43,1,13," short","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Kim"," sees a professional gymnast.","super","super","","context","gymnast"
43,3,14,"light","weight","sub_plural","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Alicia"," picks up a watermelon.","super","sub_plural","","context","watermelon"
43,3,15,"warm","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Michael"," lives in Maryland and steps outside in Summer.","super","sub_plural","","context","day in Summer"
44,3,1," tall","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Michelle"," sees a professional basketball player.","super","super","","context","basketball player"
44,1,2,"light","weight","sub_plural","male"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Stephen"," picks up a grape.","super","sub_plural","","context","grape"
44,1,3," short","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Claire"," sees a professional gymnast.","super","super","","context","gymnast"
44,1,4,"expensive","price","sub_plural","male"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Greg"," finds a bottle opener and looks at the price.","super","sub_plural","","context","bottle opener"
44,2,5,"heavy","weight","sub_plural","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Daniel"," picks up an apple.","super","sub_plural","","context","apple"
44,3,6,"warm","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Gabriel"," lives in Maryland and steps outside in Summer.","super","super","","context","day in Summer"
44,2,7,"long","time","sub_plural","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Julia"," finds a music video to watch online with their friend.","super","sub_plural","","context","music video"
44,2,8," tall","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Stephanie"," sees a professional soccer player.","super","sub_plural","","context","soccer player"
44,3,9,"cheap","price","sub_plural","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Gary"," finds a dishwasher and looks at the price.","super","sub_plural","","context","dishwasher"
44,2,10,"cold","temperature","sub_plural","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Kathleen"," lives in Maryland and steps outside in Fall.","super","super","","context","day in Fall"
44,1,11,"short","time","sub_plural","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Melinda"," finds a video of a cute animal to watch online with their friend.","super","sub_plural","","context","video of the cute animal"
44,2,12,"expensive","price","sub_plural","male"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Charles"," finds a toaster and looks at the price.","super","sub_plural","","context","toaster"
44,3,13,"light","weight","sub_plural","male"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Anthony"," picks up a watermelon.","super","sub_plural","","context","watermelon"
44,1,14,"cold","temperature","sub_plural","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Kim"," lives in Maryland and steps outside in Winter.","super","super","","context","day in Winter"
44,3,15,"short","time","sub_plural","female"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Angela"," finds a movie to watch online with their friend.","super","sub_plural","","context","movie"
45,2,1,"cheap","price","sub_plural","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Angela"," finds a toaster and looks at the price.","super","sub_plural","","context","toaster"
45,2,2," short","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Melinda"," sees a professional soccer player.","super","sub_plural","","context","soccer player"
45,3,3,"short","time","sub_plural","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Michael"," finds a movie to watch online with their friend.","super","sub_plural","","context","movie"
45,1,4,"cheap","price","sub_plural","male"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Anthony"," finds a bottle opener and looks at the price.","super","sub_plural","","context","bottle opener"
45,2,5,"long","time","sub_plural","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Mika"," finds a music video to watch online with their friend.","super","sub_plural","","context","music video"
45,3,6,"warm","temperature","sub_plural","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Maya"," lives in Maryland and steps outside in Summer.","super","sub_plural","","context","day in Summer"
45,1,7,"long","time","sub_plural","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Kathleen"," finds a video of a cute animal to watch online with their friend.","super","super","","context","video of the cute animal"
45,3,8,"cheap","price","sub_plural","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Lucas"," finds a dishwasher and looks at the price.","super","sub_plural","","context","dishwasher"
