"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
44,"English",1,"Male",25,"no","","Yes",".5",3
45,"english",2,"Female",44,"no","","Yes","0.50",2
46,"English",2,"Female",26,"No problems","","Yes","0.60",3
47,"English",2,"Female",29,"no","","Yes","1.00",2
48,"English",2,"Female",29,"no","Thank you, good luck with your study, have a great day!","Yes","yes",1
49,"english",2,"Female",32,"none","","Yes","0.50",3
50,"english",2,"Female",63,"no","no problems","Yes",".50",2
51,"english",2,"Male",50,"no","","Yes","50",3
52,"English",2,"Male",20,"None","","Yes","0.50",2
53,"english",1,"Female",30,"no","","Yes",".50",2
54,"English",2,"Male",39,"None","","Yes","50 cents",3
55,"English",2,"Male",35,"No","","Yes",".50",2
56,"English",1,"Male",47,"no","This was interesting.","Yes","yes",2
57,"English",2,"Male",26,"No","Fun survey","Yes",".75",2
58,"English",1,"Female",20,"No","","Yes",".50",2
59,"english",2,"Male",38,"no","","Yes","50c",3
60,"English",1,"Male",42,"No","","No",".20",3
61,"english",1,"Male",33,"none","","Yes","1",3
62,"English",2,"Male",48,"No","","Yes",".5",4
63,"English",2,"Female",28,"No.","Thanks for paying me fairly for my work.","Yes",".50",2
64,"english",2,"Male",27,"no","fun!","Yes",".50",3
65,"english",1,"Female",53,"no","","Yes",".50",3
66,"English",2,"Female",30,"no","thank you","Yes",".50",2
67,"English",2,"Female",27,"na","","Yes","It was pretty fair.",3
68,"English",1,"Male",27,"no","I dont know the purpose of the experiment","Yes","50 cents",2
69,"English",1,"Male",23,"None!","","No","sure",3
70,"English",1,"Male",42,"none","","Yes","0.50",1
71,"english",2,"Female",28,"no","","Yes","0.50",3
72,"English",2,"Female",24,"","","Yes",NA,3
73,"english",2,"Female",36,"no","none","Yes",NA,4
74,"English",2,"Male",70,"no","","Yes",NA,4
75,"English",1,"Female",33,"no","","Yes","1",1
76,"english",2,"Male",37,"no","","Yes",NA,3
77,"english",2,"Female",41,"no","","Yes",NA,3
78,"English",2,"Female",27,"no","","Yes",NA,3
79,"English",2,"Male",34,"","","Yes",NA,3
80,"English",2,"Male",50,"","","Yes",NA,4
81,"English",1,"Male",25,"No","","Yes",".75",3
82,"English",1,"Male",27,"No","NOne","Yes","0.50",3
83,"English",2,"Female",30,"No","I have no further comments.","Yes","50 cents",2
84,"English  ",1,"Female",38,"No","None","Yes",".35",1
85,"English",1,"Male",45,"no","","Yes",".50",2
86,"",2,"Female",NA,"no","","Yes","",3
87,"English",2,"Male",43,"no, it all worked fine","Nothing else I can think of","Yes",".50",3
88,"English",2,"Male",34,"No problems.","","Yes","",1
89,"English",1,"Female",39,"No","No comments","Yes","1.00",3
90,"English",2,"Male",26,"no","","Yes",".50",2
91,"english",1,"Female",27,"no","","Yes",".50",2
92,"english",2,"Male",30,"no","thanks!","Yes",".50",2
93,"English",2,"Male",39,"no","Good study.","Yes",".50",3
94,"English",2,"Male",29,"no","","Yes","yes",2
95,"english",2,"Female",49,"no problems.","no comments, thank you","Yes",".50 is good, thank you",3
96,"english",2,"Male",24,"no","fun","Yes",".6",2
97,"English",1,"Female",35,"none","","No","0.50",2
98,"english",2,"Male",30,"none","","Yes",".50",3
99,"English",2,"Female",34,NA,NA,"Yes",NA,2
